param_knn__n_neighbors,param_knn__weights,param_knn__metric,mean_test_score,std_test_score,rank_test_score
5,uniform,euclidean,0.7148214929679048,0.13723032661214166,1
5,distance,euclidean,0.7148214929679048,0.13723032661214166,1
3,uniform,euclidean,0.714417083097213,0.13730346203665222,3
3,distance,euclidean,0.714417083097213,0.13730346203665222,3
7,distance,euclidean,0.7142496522590285,0.13730912247025587,5
7,uniform,euclidean,0.7142187419504407,0.13732046413899404,6
9,distance,euclidean,0.7135979599196333,0.1377500985247224,7
9,uniform,euclidean,0.7135515944567514,0.1377679265921778,8
11,distance,euclidean,0.7129771778888259,0.13799981168442543,9
11,uniform,euclidean,0.712972026170728,0.13800456538184705,10
15,distance,euclidean,0.7124954922466643,0.13815990426622,11
15,uniform,euclidean,0.7124929163876152,0.13816374662295264,12
21,distance,euclidean,0.7118515274844162,0.13838114277612495,13
21,uniform,euclidean,0.7118283447529751,0.13837617336904623,14
7,uniform,manhattan,0.6336870846427283,0.16887430857382635,15
7,distance,manhattan,0.6336870846427283,0.16887430857382635,15
21,uniform,manhattan,0.6334835917778581,0.17059672701771847,17
21,distance,manhattan,0.6334835917778581,0.17059672701771847,17
15,uniform,manhattan,0.6332543403224975,0.17050697502488066,19
15,distance,manhattan,0.6332543403224975,0.17050697502488066,19
5,distance,manhattan,0.6330456957395292,0.168815250069105,21
5,uniform,manhattan,0.6330456957395292,0.168815250069105,21
9,uniform,manhattan,0.6329606923909122,0.16980793461719024,23
9,distance,manhattan,0.6329606923909122,0.16980793461719024,23
11,uniform,manhattan,0.6328782649013446,0.17007445817168643,25
11,distance,manhattan,0.6328782649013446,0.17007445817168643,25
3,distance,manhattan,0.6319947452475401,0.16914766939841538,27
3,uniform,manhattan,0.6319947452475401,0.16914766939841538,27
