Entry Time,Entry Price,Exit Time,Exit Price,Investment ($),Exit Value ($),Entry Fees ($),Exit Fees ($),PnL ($),Return (%),Exit Type
2023-02-10 06:39:00,21817.8,2023-02-15 20:32:00,23979.0,10000.0,10826.94,74.44,81.82,826.94,8.27,Signal Exit
2023-02-15 21:13:00,24003.2,2023-02-15 21:15:00,24050.2,10826.94,10686.62,80.6,80.76,-140.31,-1.3,Signal Exit
2023-02-15 21:50:00,24060.8,2023-02-15 21:52:00,24124.8,10686.62,10555.52,79.55,79.76,-131.1,-1.23,Signal Exit
2023-02-16 23:47:00,23620.0,2023-02-16 23:49:00,23646.3,10555.52,10409.95,78.58,78.66,-145.58,-1.38,Signal Exit
2023-02-16 23:50:00,23591.3,2023-02-17 00:07:00,23544.1,10409.95,10234.44,77.49,77.34,-175.5,-1.69,Signal Exit
2023-02-17 00:08:00,23553.7,2023-02-17 00:09:00,23615.3,10234.44,10108.44,76.19,76.39,-126.01,-1.23,Signal Exit
2023-02-25 10:32:00,22960.9,2023-02-25 10:33:00,22939.7,10108.44,9948.74,75.25,75.18,-159.69,-1.58,Signal Exit
2023-03-08 09:21:00,21958.0,2023-03-09 18:33:00,20964.2,9948.74,9357.05,74.06,70.71,-591.69,-5.95,Stop-Loss
2023-03-09 18:34:00,20989.9,2023-03-09 20:59:00,20086.7,9357.05,8821.1,69.66,66.66,-535.95,-5.73,Stop-Loss
2023-03-09 21:00:00,20171.2,2023-03-14 13:02:00,26384.7,8821.1,11366.55,65.67,85.89,2545.45,28.86,Signal Exit
2023-03-14 13:06:00,26302.5,2023-03-14 18:50:00,25134.4,11366.55,10700.05,84.61,80.86,-666.5,-5.86,Stop-Loss
2023-03-14 18:51:00,24973.1,2023-03-17 17:20:00,26629.4,10700.05,11239.84,79.65,84.94,539.79,5.04,Signal Exit
2023-03-17 17:21:00,26604.2,2023-03-17 19:04:00,26651.4,11239.84,11092.14,83.67,83.82,-147.7,-1.31,Signal Exit
2023-03-17 20:43:00,26621.7,2023-03-17 20:44:00,26676.9,11092.14,10949.65,82.57,82.74,-142.49,-1.28,Signal Exit
2023-03-17 20:47:00,26651.5,2023-03-17 20:48:00,26666.5,10949.65,10792.7,81.51,81.56,-156.95,-1.43,Signal Exit
2023-03-18 00:19:00,27116.6,2023-03-18 00:20:00,27204.2,10792.7,10666.36,80.34,80.6,-126.34,-1.17,Signal Exit
2023-03-18 08:13:00,27159.5,2023-03-18 08:14:00,27140.1,10666.36,10500.05,79.4,79.35,-166.31,-1.56,Signal Exit
2023-03-18 08:26:00,27226.0,2023-03-18 08:27:00,27236.8,10500.05,10347.83,78.16,78.2,-152.22,-1.45,Signal Exit
2023-03-18 14:43:00,27489.6,2023-03-18 17:02:00,27444.8,10347.83,10177.16,77.03,76.91,-170.67,-1.65,Signal Exit
2023-03-18 17:03:00,27403.3,2023-03-18 18:15:00,27287.6,10177.16,9983.3,75.76,75.44,-193.85,-1.9,Signal Exit
2023-03-18 18:18:00,27298.9,2023-03-18 18:20:00,27339.8,9983.3,9849.4,74.32,74.43,-133.9,-1.34,Signal Exit
2023-03-18 19:16:00,27294.9,2023-03-18 19:39:00,27439.2,9849.4,9754.06,73.32,73.71,-95.35,-0.97,Signal Exit
2023-03-18 19:46:00,27388.0,2023-03-18 19:47:00,27403.5,9754.06,9614.27,72.61,72.65,-139.78,-1.43,Signal Exit
2023-03-18 19:55:00,27372.7,2023-03-18 19:56:00,27358.5,9614.27,9466.22,71.57,71.53,-148.05,-1.54,Signal Exit
2023-03-18 19:59:00,27341.1,2023-03-18 20:48:00,27417.2,9466.22,9351.24,70.47,70.66,-114.98,-1.21,Signal Exit
2023-03-18 21:03:00,27358.2,2023-03-18 21:09:00,27332.2,9351.24,9203.26,69.61,69.55,-147.98,-1.58,Signal Exit
2023-03-18 21:10:00,27327.1,2023-03-18 21:11:00,27342.7,9203.26,9071.42,68.51,68.55,-131.85,-1.43,Signal Exit
2023-03-18 21:12:00,27317.6,2023-03-18 21:14:00,27325.9,9071.42,8939.07,67.53,67.55,-132.34,-1.46,Signal Exit
2023-03-18 21:16:00,27308.5,2023-03-18 21:18:00,27349.1,8939.07,8819.08,66.54,66.64,-120.0,-1.34,Signal Exit
2023-03-18 21:23:00,27311.0,2023-03-18 21:40:00,27314.2,8819.08,8688.79,65.65,65.66,-130.28,-1.48,Signal Exit
2023-03-18 21:42:00,27306.8,2023-03-19 11:15:00,27049.3,8688.79,8478.72,64.68,64.07,-210.08,-2.42,Signal Exit
2023-03-19 11:49:00,27152.3,2023-03-19 11:56:00,27177.5,8478.72,8360.23,63.12,63.18,-118.48,-1.4,Signal Exit
2023-03-19 11:59:00,27170.8,2023-03-19 12:00:00,27191.3,8360.23,8241.98,62.23,62.28,-118.26,-1.41,Signal Exit
2023-03-19 13:43:00,27173.9,2023-03-19 13:55:00,27208.9,8241.98,8129.73,61.35,61.43,-112.25,-1.36,Signal Exit
2023-03-19 13:56:00,27169.4,2023-03-19 14:01:00,27205.0,8129.73,8019.18,60.52,60.6,-110.54,-1.36,Signal Exit
2023-03-19 14:02:00,27229.6,2023-03-19 14:03:00,27205.7,8019.18,7892.86,59.7,59.64,-126.33,-1.58,Signal Exit
2023-03-19 14:05:00,27218.4,2023-03-19 14:08:00,27257.4,7892.86,7786.49,58.76,58.84,-106.37,-1.35,Signal Exit
2023-03-22 21:51:00,27166.7,2023-03-22 21:52:00,27151.7,7786.49,7666.32,57.96,57.93,-120.16,-1.54,Signal Exit
2023-03-24 17:51:00,27513.0,2023-03-24 17:52:00,27555.1,7666.32,7563.74,57.07,57.16,-102.58,-1.34,Signal Exit
2023-03-24 17:56:00,27544.0,2023-03-24 17:57:00,27565.6,7563.74,7456.97,56.31,56.35,-106.77,-1.41,Signal Exit
2023-03-24 20:42:00,27535.1,2023-03-24 20:43:00,27565.9,7456.97,7354.17,55.51,55.57,-102.8,-1.38,Signal Exit
2023-03-24 20:45:00,27532.1,2023-03-24 20:46:00,27562.4,7354.17,7252.65,54.75,54.81,-101.52,-1.38,Signal Exit
2023-03-24 20:47:00,27544.5,2023-03-24 20:48:00,27569.7,7252.65,7151.2,53.99,54.04,-101.44,-1.4,Signal Exit
2023-03-24 20:57:00,27585.7,2023-03-25 00:33:00,27535.4,7151.2,7031.89,53.23,53.14,-119.31,-1.67,Signal Exit
2023-03-25 00:37:00,27528.6,2023-03-25 02:26:00,27585.6,7031.89,6941.54,52.35,52.45,-90.35,-1.28,Signal Exit
2023-03-25 02:27:00,27627.3,2023-03-25 11:54:00,27438.1,6941.54,6791.36,51.67,51.32,-150.18,-2.16,Signal Exit
2023-03-25 11:55:00,27446.4,2023-03-25 13:29:00,27413.2,6791.36,6682.16,50.56,50.49,-109.21,-1.61,Signal Exit
2023-03-25 19:30:00,27172.4,2023-03-25 19:31:00,27213.1,6682.16,6592.53,49.74,49.82,-89.63,-1.34,Signal Exit
2023-03-25 19:36:00,27265.8,2023-03-25 19:37:00,27270.1,6592.53,6495.4,49.08,49.08,-97.13,-1.47,Signal Exit
2023-03-25 19:38:00,27239.6,2023-03-25 19:39:00,27236.9,6495.4,6398.06,48.35,48.35,-97.34,-1.5,Signal Exit
2023-03-25 19:41:00,27231.0,2023-03-25 19:44:00,27275.3,6398.06,6313.06,47.63,47.71,-85.0,-1.33,Signal Exit
2023-03-25 19:48:00,27210.8,2023-03-25 20:08:00,27268.9,6313.06,6232.35,47.0,47.1,-80.71,-1.28,Signal Exit
2023-03-25 20:09:00,27265.3,2023-03-25 20:24:00,27289.9,6232.35,6145.1,46.39,46.44,-87.25,-1.4,Signal Exit
2023-03-25 22:53:00,27430.3,2023-03-25 22:55:00,27422.0,6145.1,6051.78,45.75,45.73,-93.32,-1.52,Signal Exit
2023-03-25 22:56:00,27421.0,2023-03-25 23:07:00,27412.9,6051.78,5959.91,45.05,45.04,-91.86,-1.52,Signal Exit
2023-03-25 23:12:00,27420.4,2023-03-25 23:14:00,27429.8,5959.91,5873.19,44.37,44.38,-86.72,-1.46,Signal Exit
2023-03-26 02:01:00,27598.4,2023-03-26 02:02:00,27584.7,5873.19,5782.88,43.72,43.7,-90.31,-1.54,Signal Exit
2023-03-26 20:50:00,27699.1,2023-03-26 20:51:00,27709.5,5782.88,5698.92,43.05,43.06,-83.96,-1.45,Signal Exit
2023-03-27 06:24:00,27749.3,2023-03-27 06:25:00,27744.1,5698.92,5613.02,42.42,42.42,-85.9,-1.51,Signal Exit
2023-03-27 07:49:00,27755.2,2023-03-27 07:50:00,27757.5,5613.02,5529.91,41.78,41.79,-83.11,-1.48,Signal Exit
2023-03-27 14:19:00,27400.9,2023-03-28 18:27:00,26866.9,5529.91,5341.41,41.17,40.36,-188.5,-3.41,Signal Exit
2023-03-28 18:32:00,26840.8,2023-03-28 18:33:00,26850.8,5341.41,5263.85,39.76,39.78,-77.56,-1.45,Signal Exit
2023-03-28 18:35:00,26850.9,2023-03-28 18:36:00,26886.4,5263.85,5192.34,39.18,39.24,-71.51,-1.36,Signal Exit
2023-03-29 00:21:00,27263.8,2023-03-29 04:26:00,27392.0,5192.34,5139.08,38.65,38.83,-53.25,-1.03,Signal Exit
2023-03-29 04:29:00,27382.8,2023-03-29 04:33:00,27527.0,5139.08,5089.23,38.26,38.46,-49.85,-0.97,Signal Exit
2023-03-30 17:36:00,27732.8,2023-03-30 17:38:00,27865.4,5089.23,5037.43,37.89,38.07,-51.8,-1.02,Signal Exit
2023-03-30 17:41:00,27770.4,2023-03-30 17:42:00,27776.1,5037.43,4963.45,37.5,37.51,-73.98,-1.47,Signal Exit
2023-03-30 17:53:00,27765.1,2023-03-30 17:54:00,27778.5,4963.45,4891.91,36.95,36.97,-71.54,-1.44,Signal Exit
2023-03-30 17:55:00,27725.6,2023-03-30 17:56:00,27766.0,4891.91,4826.1,36.42,36.47,-65.81,-1.35,Signal Exit
2023-03-30 18:04:00,27761.2,2023-03-30 18:05:00,27779.3,4826.1,4757.35,35.93,35.95,-68.75,-1.42,Signal Exit
2023-03-30 18:06:00,27767.6,2023-03-30 18:13:00,27750.0,4757.35,4683.55,35.41,35.39,-73.8,-1.55,Signal Exit
2023-04-05 15:58:00,28051.1,2023-04-05 19:52:00,28262.9,4683.55,4648.66,34.87,35.13,-34.89,-0.75,Signal Exit
2023-04-05 19:54:00,28232.5,2023-04-05 19:58:00,28220.3,4648.66,4577.47,34.61,34.59,-71.19,-1.53,Signal Exit
