Entry Time,Entry Price,Exit Time,Exit Price,Investment ($),Exit Value ($),Entry Fees ($),Exit Fees ($),PnL ($),Return (%),Exit Type
2023-02-10 06:38:00,21830.9,2023-02-15 20:32:00,23979.0,10000.0,10820.44,74.44,81.77,820.44,8.2,Signal Exit
2023-02-15 21:12:00,24008.0,2023-02-15 21:15:00,24050.2,10820.44,10678.08,80.55,80.69,-142.36,-1.32,Signal Exit
2023-02-15 21:50:00,24060.8,2023-02-15 21:52:00,24124.8,10678.08,10547.08,79.49,79.7,-131.0,-1.23,Signal Exit
2023-02-16 23:47:00,23620.0,2023-02-16 23:49:00,23646.3,10547.08,10401.62,78.51,78.6,-145.46,-1.38,Signal Exit
2023-02-16 23:50:00,23591.3,2023-02-17 00:07:00,23544.1,10401.62,10226.25,77.43,77.28,-175.36,-1.69,Signal Exit
2023-02-17 00:08:00,23553.7,2023-02-17 00:09:00,23615.3,10226.25,10100.35,76.13,76.33,-125.9,-1.23,Signal Exit
2023-03-08 09:21:00,21958.0,2023-03-09 18:33:00,20964.2,10100.35,9499.64,75.19,71.79,-600.7,-5.95,Stop-Loss
2023-03-09 18:34:00,20989.9,2023-03-09 20:59:00,20086.7,9499.64,8955.52,70.72,67.67,-544.12,-5.73,Stop-Loss
2023-03-09 21:00:00,20171.2,2023-03-14 13:02:00,26384.7,8955.52,11539.76,66.67,87.2,2584.24,28.86,Signal Exit
2023-03-14 13:06:00,26302.5,2023-03-14 18:50:00,25134.4,11539.76,10863.1,85.9,82.09,-676.66,-5.86,Stop-Loss
2023-03-14 18:51:00,24973.1,2023-03-17 19:04:00,26651.4,10863.1,11420.55,80.87,86.3,557.44,5.13,Signal Exit
2023-03-17 20:43:00,26621.7,2023-03-17 20:44:00,26676.9,11420.55,11273.84,85.02,85.19,-146.7,-1.28,Signal Exit
2023-03-18 14:43:00,27489.6,2023-03-18 17:02:00,27444.8,11273.84,11087.9,83.92,83.79,-185.95,-1.65,Signal Exit
2023-03-18 17:03:00,27403.3,2023-03-18 18:16:00,27318.8,11087.9,10889.13,82.54,82.29,-198.76,-1.79,Signal Exit
2023-03-18 18:17:00,27300.3,2023-03-18 18:20:00,27339.8,10889.13,10742.53,81.06,81.18,-146.6,-1.35,Signal Exit
2023-03-18 19:16:00,27294.9,2023-03-18 19:39:00,27439.2,10742.53,10638.54,79.97,80.39,-103.99,-0.97,Signal Exit
2023-03-18 19:46:00,27388.0,2023-03-18 19:47:00,27403.5,10638.54,10486.08,79.2,79.24,-152.46,-1.43,Signal Exit
2023-03-18 19:59:00,27341.1,2023-03-18 20:48:00,27417.2,10486.08,10358.71,78.06,78.28,-127.37,-1.21,Signal Exit
2023-03-18 21:03:00,27358.2,2023-03-18 21:09:00,27332.2,10358.71,10194.79,77.11,77.04,-163.92,-1.58,Signal Exit
2023-03-18 21:10:00,27327.1,2023-03-18 21:11:00,27342.7,10194.79,10048.74,75.89,75.94,-146.05,-1.43,Signal Exit
2023-03-18 21:12:00,27317.6,2023-03-18 21:14:00,27325.9,10048.74,9902.14,74.8,74.83,-146.6,-1.46,Signal Exit
2023-03-18 21:16:00,27308.5,2023-03-18 21:18:00,27349.1,9902.14,9769.22,73.71,73.82,-132.92,-1.34,Signal Exit
