Entry Time,Entry Price,Exit Time,Exit Price,Investment ($),Exit Value ($),Entry Fees ($),Exit Fees ($),PnL ($),Return (%),Price Change (%),Fee Checker,Exit Type
2023-02-10 06:38:00,21830.9,2023-02-15 20:32:00,23979.0,10000.0,10820.44,74.44,81.77,820.44,8.2,9.84,True,Fee-Aware Signal Exit
2023-02-15 21:12:00,24008.0,2023-02-16 00:09:00,24376.1,10820.44,10822.77,80.55,81.78,2.33,0.02,1.53,True,Fee-Aware Signal Exit
2023-02-16 23:47:00,23620.0,2023-02-17 14:34:00,24047.0,10822.77,10854.38,80.57,82.02,31.61,0.29,1.81,True,Fee-Aware Signal Exit
2023-03-08 09:21:00,21958.0,2023-03-09 18:33:00,20964.2,10854.38,10208.83,80.8,77.14,-645.55,-5.95,-4.53,False,Stop-Loss
2023-03-09 18:34:00,20989.9,2023-03-09 20:59:00,20086.7,10208.83,9624.09,76.0,72.73,-584.74,-5.73,-4.3,False,Stop-Loss
2023-03-09 21:00:00,20171.2,2023-03-14 13:02:00,26384.7,9624.09,12401.25,71.64,93.71,2777.16,28.86,30.8,True,Fee-Aware Signal Exit
2023-03-14 13:06:00,26302.5,2023-03-14 18:50:00,25134.4,12401.25,11674.08,92.32,88.22,-727.18,-5.86,-4.44,False,Stop-Loss
2023-03-14 18:51:00,24973.1,2023-03-17 19:04:00,26651.4,11674.08,12273.14,86.9,92.74,599.06,5.13,6.72,True,Fee-Aware Signal Exit
2023-03-17 20:43:00,26621.7,2023-03-17 21:42:00,27097.3,12273.14,12306.41,91.36,93.0,33.27,0.27,1.79,True,Fee-Aware Signal Exit
2023-03-18 14:43:00,27489.6,2023-03-19 16:41:00,27930.6,12306.41,12317.67,91.61,93.08,11.26,0.09,1.6,True,Fee-Aware Signal Exit
2023-03-24 17:51:00,27513.0,2023-03-26 12:01:00,27927.4,12317.67,12317.05,91.69,93.08,-0.62,-0.01,1.51,True,Fee-Aware Signal Exit
2023-03-26 20:50:00,27699.1,2023-03-26 23:20:00,28117.2,12317.05,12316.82,91.69,93.07,-0.23,-0.0,1.51,True,Fee-Aware Signal Exit
2023-03-27 14:19:00,27400.9,2023-03-29 06:28:00,27945.4,12316.82,12374.55,91.69,93.51,57.73,0.47,1.99,True,Fee-Aware Signal Exit
2023-03-30 17:36:00,27732.8,2023-03-31 00:50:00,28159.1,12374.55,12377.7,92.12,93.53,3.15,0.03,1.54,True,Fee-Aware Signal Exit
2023-04-05 15:59:00,27996.1,2023-04-10 22:02:00,29458.1,12377.7,12830.18,92.14,96.95,452.48,3.66,5.22,True,Fee-Aware Signal Exit
2023-04-21 02:46:00,28176.7,2023-04-26 08:26:00,28657.2,12830.18,12854.69,95.51,97.14,24.52,0.19,1.71,True,Fee-Aware Signal Exit
2023-05-01 01:51:00,28454.4,2023-05-03 21:21:00,28939.4,12854.69,12879.15,95.69,97.32,24.46,0.19,1.7,True,Fee-Aware Signal Exit
2023-05-12 15:27:00,26295.6,2023-05-12 21:12:00,26704.5,12879.15,12884.69,95.87,97.37,5.54,0.04,1.56,True,Fee-Aware Signal Exit
