Entry Time,Entry Price,Exit Time,Exit Price,Investment ($),Exit Value ($),Entry Fees ($),Exit Fees ($),PnL ($),Return (%),Price Change (%),Fee Checker,Exit Type
2023-02-10 06:35:00,21839.8,2023-02-15 20:32:00,23979.0,10000.0,10816.03,74.44,81.73,816.03,8.16,9.79,True,Fee-Aware Signal Exit
2023-02-15 21:12:00,24008.0,2023-02-16 00:09:00,24376.1,10816.03,10818.36,80.52,81.75,2.33,0.02,1.53,True,Fee-Aware Signal Exit
2023-02-16 23:47:00,23620.0,2023-02-17 14:34:00,24047.0,10818.36,10849.96,80.53,81.99,31.59,0.29,1.81,True,Fee-Aware Signal Exit
2023-03-08 09:20:00,21964.5,2023-03-09 18:33:00,20964.2,10849.96,10201.65,80.77,77.09,-648.31,-5.98,-4.55,False,Stop-Loss
2023-03-09 18:34:00,20989.9,2023-03-09 20:59:00,20086.7,10201.65,9617.32,75.94,72.67,-584.33,-5.73,-4.3,False,Stop-Loss
2023-03-09 21:00:00,20171.2,2023-03-14 13:02:00,26384.7,9617.32,12392.53,71.59,93.65,2775.21,28.86,30.8,True,Fee-Aware Signal Exit
2023-03-14 13:06:00,26302.5,2023-03-14 18:50:00,25134.4,12392.53,11665.87,92.25,88.16,-726.67,-5.86,-4.44,False,Stop-Loss
2023-03-14 18:51:00,24973.1,2023-03-17 19:04:00,26651.4,11665.87,12264.5,86.84,92.68,598.64,5.13,6.72,True,Fee-Aware Signal Exit
2023-03-17 20:43:00,26621.7,2023-03-17 21:42:00,27097.3,12264.5,12297.75,91.3,92.93,33.25,0.27,1.79,True,Fee-Aware Signal Exit
2023-03-18 14:44:00,27483.8,2023-03-19 16:37:00,27898.5,12297.75,12297.45,91.55,92.93,-0.3,-0.0,1.51,True,Fee-Aware Signal Exit
2023-03-24 17:51:00,27513.0,2023-03-26 12:01:00,27927.4,12297.45,12296.83,91.54,92.92,-0.62,-0.01,1.51,True,Fee-Aware Signal Exit
2023-03-26 20:50:00,27699.1,2023-03-26 23:20:00,28117.2,12296.83,12296.6,91.54,92.92,-0.23,-0.0,1.51,True,Fee-Aware Signal Exit
2023-03-27 14:17:00,27516.0,2023-03-29 06:28:00,27945.4,12296.6,12302.56,91.54,92.97,5.96,0.05,1.56,True,Fee-Aware Signal Exit
2023-03-30 17:32:00,27789.7,2023-03-31 00:53:00,28229.2,12302.56,12311.07,91.58,93.03,8.51,0.07,1.58,True,Fee-Aware Signal Exit
2023-04-05 15:59:00,27996.1,2023-04-10 22:02:00,29458.1,12311.07,12761.11,91.65,96.43,450.04,3.66,5.22,True,Fee-Aware Signal Exit
2023-04-21 02:46:00,28176.7,2023-04-26 08:26:00,28657.2,12761.11,12785.49,95.0,96.62,24.38,0.19,1.71,True,Fee-Aware Signal Exit
2023-05-01 01:51:00,28454.4,2023-05-03 21:21:00,28939.4,12785.49,12809.82,95.18,96.8,24.33,0.19,1.7,True,Fee-Aware Signal Exit
