Entry Time,Entry Price,Exit Time,Exit Price,Investment ($),Exit Value ($),Entry Fees ($),Exit Fees ($),PnL ($),Return (%),Price Change (%),Fee Checker,Exit Type
2023-02-10 06:31:00,21819.3,2023-02-15 20:32:00,23979.0,10000.0,10826.19,74.44,81.81,826.19,8.26,9.9,True,Fee-Aware Signal Exit
2023-02-16 23:47:00,23620.0,2023-02-17 14:34:00,24047.0,10826.19,10857.81,80.59,82.05,31.62,0.29,1.81,True,Fee-Aware Signal Exit
2023-03-08 09:15:00,21971.7,2023-03-09 18:33:00,20964.2,10857.81,10205.69,80.83,77.12,-652.12,-6.01,-4.59,False,Stop-Loss
2023-03-09 18:34:00,20989.9,2023-03-09 20:59:00,20086.7,10205.69,9621.13,75.97,72.7,-584.56,-5.73,-4.3,False,Stop-Loss
2023-03-09 21:00:00,20171.2,2023-03-17 19:04:00,26651.4,9621.13,12522.75,71.62,94.63,2901.62,30.16,32.13,True,Fee-Aware Signal Exit
2023-03-18 14:34:00,27524.5,2023-03-19 16:42:00,27952.7,12522.75,12528.22,93.22,94.67,5.47,0.04,1.56,True,Fee-Aware Signal Exit
2023-03-24 20:43:00,27565.9,2023-03-26 13:38:00,28087.2,12528.22,12575.09,93.26,95.03,46.87,0.37,1.89,True,Fee-Aware Signal Exit
2023-03-27 14:19:00,27400.9,2023-03-29 06:28:00,27945.4,12575.09,12634.04,93.61,95.47,58.94,0.47,1.99,True,Fee-Aware Signal Exit
2023-04-05 15:54:00,28075.3,2023-04-10 22:02:00,29458.1,12634.04,13058.94,94.05,98.68,424.9,3.36,4.93,True,Fee-Aware Signal Exit
2023-04-21 02:51:00,28183.2,2023-04-26 08:26:00,28657.2,13058.94,13080.88,97.21,98.85,21.94,0.17,1.68,True,Fee-Aware Signal Exit
2023-05-01 19:12:00,28059.4,2023-05-02 14:31:00,28556.7,13080.88,13114.51,97.38,99.1,33.63,0.26,1.77,True,Fee-Aware Signal Exit
