Entry Time,Entry Price,Exit Time,Exit Price,Investment ($),Exit Value ($),Entry Fees ($),Exit Fees ($),PnL ($),Return (%),Exit Type
2023-02-10 06:39:00,21817.8,2023-02-15 20:32:00,23979.0,10000.0,10826.94,74.44,81.82,826.94,8.27,Signal Exit
2023-02-15 21:13:00,24003.2,2023-02-15 21:15:00,24050.2,10826.94,10686.62,80.6,80.76,-140.31,-1.3,Signal Exit
2023-02-15 21:50:00,24060.8,2023-02-15 21:52:00,24124.8,10686.62,10555.52,79.55,79.76,-131.1,-1.23,Signal Exit
2023-02-16 23:47:00,23620.0,2023-02-16 23:49:00,23646.3,10555.52,10409.95,78.58,78.66,-145.58,-1.38,Signal Exit
2023-02-16 23:50:00,23591.3,2023-02-17 00:07:00,23544.1,10409.95,10234.44,77.49,77.34,-175.5,-1.69,Signal Exit
2023-02-17 00:08:00,23553.7,2023-02-17 00:09:00,23615.3,10234.44,10108.44,76.19,76.39,-126.01,-1.23,Signal Exit
2023-03-08 09:21:00,21958.0,2023-03-09 18:33:00,20964.2,10108.44,9507.25,75.25,71.84,-601.19,-5.95,Stop-Loss
2023-03-09 18:34:00,20989.9,2023-03-09 20:59:00,20086.7,9507.25,8962.69,70.77,67.73,-544.56,-5.73,Stop-Loss
2023-03-09 21:00:00,20171.2,2023-03-14 13:02:00,26384.7,8962.69,11549.0,66.72,87.27,2586.31,28.86,Signal Exit
2023-03-14 13:06:00,26302.5,2023-03-14 18:50:00,25134.4,11549.0,10871.8,85.97,82.15,-677.2,-5.86,Stop-Loss
2023-03-14 18:51:00,24973.1,2023-03-17 19:04:00,26651.4,10871.8,11429.69,80.93,86.37,557.89,5.13,Signal Exit
2023-03-17 20:43:00,26621.7,2023-03-17 20:44:00,26676.9,11429.69,11282.87,85.08,85.26,-146.82,-1.28,Signal Exit
2023-03-18 14:43:00,27489.6,2023-03-18 17:02:00,27444.8,11282.87,11096.77,83.99,83.85,-186.1,-1.65,Signal Exit
2023-03-18 17:03:00,27403.3,2023-03-18 18:15:00,27287.6,11096.77,10885.4,82.61,82.26,-211.37,-1.9,Signal Exit
2023-03-18 18:17:00,27300.3,2023-03-18 18:20:00,27339.8,10885.4,10738.85,81.03,81.15,-146.55,-1.35,Signal Exit
2023-03-18 19:16:00,27294.9,2023-03-18 19:39:00,27439.2,10738.85,10634.9,79.94,80.36,-103.96,-0.97,Signal Exit
2023-03-18 19:46:00,27388.0,2023-03-18 19:47:00,27403.5,10634.9,10482.49,79.17,79.21,-152.41,-1.43,Signal Exit
2023-03-18 19:57:00,27333.4,2023-03-18 19:58:00,27358.3,10482.49,10335.83,78.03,78.1,-146.66,-1.4,Signal Exit
2023-03-18 19:59:00,27341.1,2023-03-18 20:48:00,27417.2,10335.83,10210.29,76.94,77.16,-125.54,-1.21,Signal Exit
2023-03-18 21:03:00,27358.2,2023-03-18 21:09:00,27332.2,10210.29,10048.71,76.01,75.93,-161.57,-1.58,Signal Exit
2023-03-18 21:10:00,27327.1,2023-03-18 21:14:00,27325.9,10048.71,9898.67,74.8,74.8,-150.04,-1.49,Signal Exit
2023-03-18 21:16:00,27308.5,2023-03-18 21:18:00,27349.1,9898.67,9765.79,73.69,73.8,-132.88,-1.34,Signal Exit
2023-03-18 21:23:00,27311.0,2023-03-18 21:40:00,27314.2,9765.79,9621.52,72.7,72.71,-144.27,-1.48,Signal Exit
2023-03-18 21:42:00,27306.8,2023-03-19 11:15:00,27049.3,9621.52,9388.9,71.62,70.95,-232.63,-2.42,Signal Exit
2023-03-19 11:50:00,27145.4,2023-03-19 11:55:00,27157.3,9388.9,9253.17,69.89,69.92,-135.73,-1.45,Signal Exit
2023-03-19 11:59:00,27170.8,2023-03-19 12:00:00,27191.3,9253.17,9122.28,68.88,68.93,-130.89,-1.41,Signal Exit
2023-03-19 13:43:00,27173.9,2023-03-19 14:08:00,27257.4,9122.28,9014.08,67.91,68.12,-108.2,-1.19,Signal Exit
2023-03-24 17:51:00,27513.0,2023-03-24 17:52:00,27555.1,9014.08,8893.46,67.1,67.2,-120.62,-1.34,Signal Exit
2023-03-24 17:56:00,27544.0,2023-03-24 17:57:00,27565.6,8893.46,8767.92,66.2,66.26,-125.54,-1.41,Signal Exit
2023-03-24 20:45:00,27532.1,2023-03-24 20:46:00,27562.4,8767.92,8646.89,65.27,65.34,-121.03,-1.38,Signal Exit
2023-03-24 20:47:00,27544.5,2023-03-24 20:48:00,27569.7,8646.89,8525.94,64.37,64.43,-120.94,-1.4,Signal Exit
2023-03-24 20:55:00,27606.6,2023-03-25 00:33:00,27535.4,8525.94,8377.34,63.47,63.3,-148.6,-1.74,Signal Exit
2023-03-25 00:37:00,27528.6,2023-03-25 11:54:00,27438.1,8377.34,8225.49,62.36,62.16,-151.86,-1.81,Signal Exit
2023-03-25 11:55:00,27446.4,2023-03-25 13:30:00,27416.4,8225.49,8094.17,61.23,61.17,-131.32,-1.6,Signal Exit
2023-03-25 19:30:00,27172.4,2023-03-25 19:31:00,27213.1,8094.17,7985.6,60.25,60.34,-108.57,-1.34,Signal Exit
2023-03-25 19:38:00,27239.6,2023-03-25 19:39:00,27236.9,7985.6,7865.93,59.45,59.44,-119.67,-1.5,Signal Exit
2023-03-25 19:40:00,27242.7,2023-03-25 19:44:00,27275.3,7865.93,7758.09,58.56,58.63,-107.84,-1.37,Signal Exit
2023-03-25 19:48:00,27210.8,2023-03-25 20:24:00,27289.9,7758.09,7664.81,57.75,57.92,-93.29,-1.2,Signal Exit
2023-03-25 22:53:00,27430.3,2023-03-25 22:55:00,27422.0,7664.81,7548.4,57.06,57.04,-116.4,-1.52,Signal Exit
2023-03-25 22:56:00,27421.0,2023-03-25 23:07:00,27412.9,7548.4,7433.82,56.19,56.17,-114.58,-1.52,Signal Exit
2023-03-25 23:12:00,27420.4,2023-03-25 23:13:00,27423.6,7433.82,7324.0,55.34,55.35,-109.82,-1.48,Signal Exit
2023-03-26 20:50:00,27699.1,2023-03-26 20:51:00,27709.5,7324.0,7217.67,54.52,54.54,-106.33,-1.45,Signal Exit
2023-03-27 14:18:00,27474.2,2023-03-28 18:28:00,26872.4,7217.67,6954.47,53.73,52.55,-263.2,-3.65,Signal Exit
2023-03-28 18:35:00,26850.9,2023-03-28 18:36:00,26886.4,6954.47,6859.98,51.77,51.84,-94.48,-1.36,Signal Exit
2023-03-29 00:22:00,27269.2,2023-03-29 04:28:00,27395.6,6859.98,6789.17,51.07,51.3,-70.81,-1.03,Signal Exit
2023-03-29 04:29:00,27382.8,2023-03-29 04:32:00,27547.4,6789.17,6728.3,50.54,50.84,-60.88,-0.9,Signal Exit
2023-03-30 17:36:00,27732.8,2023-03-30 17:38:00,27865.4,6728.3,6659.82,50.09,50.33,-68.48,-1.02,Signal Exit
2023-03-30 17:41:00,27770.4,2023-03-30 17:42:00,27776.1,6659.82,6562.01,49.58,49.59,-97.81,-1.47,Signal Exit
2023-03-30 17:53:00,27765.1,2023-03-30 17:54:00,27778.5,6562.01,6467.43,48.85,48.87,-94.58,-1.44,Signal Exit
2023-03-30 17:55:00,27725.6,2023-03-30 17:56:00,27766.0,6467.43,6380.43,48.14,48.21,-87.01,-1.35,Signal Exit
2023-03-30 18:04:00,27761.2,2023-03-30 18:13:00,27750.0,6380.43,6282.9,47.5,47.48,-97.53,-1.53,Signal Exit
2023-04-05 15:59:00,27996.1,2023-04-05 19:52:00,28262.9,6282.9,6248.34,46.77,47.22,-34.56,-0.55,Signal Exit
2023-04-05 19:53:00,28241.4,2023-04-10 22:02:00,29458.1,6248.34,6420.49,46.51,48.52,172.16,2.76,Signal Exit
2023-04-21 02:46:00,28176.7,2023-04-21 10:06:00,28019.4,6420.49,6289.59,47.8,47.53,-130.9,-2.04,Signal Exit
2023-04-21 14:54:00,28047.5,2023-04-21 15:55:00,27983.6,6289.59,6181.84,46.82,46.71,-107.76,-1.71,Signal Exit
2023-04-21 16:08:00,27956.3,2023-04-21 16:15:00,28000.8,6181.84,6099.49,46.02,46.09,-82.34,-1.33,Signal Exit
2023-04-21 16:36:00,27925.0,2023-04-21 16:45:00,28018.3,6099.49,6028.76,45.41,45.56,-70.74,-1.16,Signal Exit
2023-04-21 16:47:00,28005.7,2023-04-25 23:48:00,28317.4,6028.76,6005.1,44.88,45.38,-23.66,-0.39,Signal Exit
2023-05-01 01:51:00,28454.4,2023-05-01 01:53:00,28504.2,6005.1,5926.05,44.7,44.78,-79.05,-1.32,Signal Exit
2023-05-01 01:54:00,28462.2,2023-05-01 02:02:00,28553.9,5926.05,5856.63,44.11,44.26,-69.42,-1.17,Signal Exit
2023-05-01 03:15:00,28426.3,2023-05-01 03:17:00,28499.6,5856.63,5784.31,43.6,43.71,-72.32,-1.23,Signal Exit
2023-05-01 03:50:00,28519.7,2023-05-01 03:54:00,28544.2,5784.31,5703.08,43.06,43.1,-81.22,-1.4,Signal Exit
2023-05-01 03:55:00,28533.1,2023-05-01 04:01:00,28542.1,5703.08,5619.95,42.45,42.47,-83.14,-1.46,Signal Exit
2023-05-01 04:04:00,28545.3,2023-05-01 04:05:00,28541.0,5619.95,5535.44,41.84,41.83,-84.51,-1.5,Signal Exit
2023-05-01 04:10:00,28536.4,2023-05-01 04:12:00,28538.9,5535.44,5453.51,41.21,41.21,-81.94,-1.48,Signal Exit
2023-05-01 04:14:00,28533.5,2023-05-01 04:18:00,28531.1,5453.51,5371.86,40.6,40.59,-81.65,-1.5,Signal Exit
2023-05-01 04:19:00,28514.5,2023-05-01 04:32:00,28505.5,5371.86,5290.21,39.99,39.98,-81.65,-1.52,Signal Exit
2023-05-01 05:32:00,28487.4,2023-05-01 05:48:00,28436.4,5290.21,5202.12,39.38,39.31,-88.09,-1.67,Signal Exit
2023-05-01 05:49:00,28398.4,2023-05-01 05:59:00,28457.8,5202.12,5135.39,38.73,38.81,-66.73,-1.28,Signal Exit
2023-05-01 06:01:00,28447.4,2023-05-01 06:06:00,28451.7,5135.39,5059.69,38.23,38.23,-75.69,-1.47,Signal Exit
2023-05-01 06:13:00,28471.4,2023-05-01 06:14:00,28477.4,5059.69,4985.41,37.67,37.67,-74.28,-1.47,Signal Exit
2023-05-01 06:20:00,28468.0,2023-05-01 06:23:00,28469.6,4985.41,4911.47,37.11,37.11,-73.95,-1.48,Signal Exit
2023-05-01 06:24:00,28458.4,2023-05-01 06:25:00,28462.8,4911.47,4839.09,36.56,36.57,-72.38,-1.47,Signal Exit
