Entry Time,Entry Price,Exit Time,Exit Price,Investment ($),Exit Value ($),Entry Fees ($),Exit Fees ($),PnL ($),Return (%),Price Change (%),Fee Checker,Exit Type
2023-02-10 06:39:00,21817.8,2023-02-15 20:32:00,23979.0,10000.0,10826.94,74.44,81.82,826.94,8.27,9.91,True,Fee-Aware Signal Exit
2023-02-15 21:13:00,24003.2,2023-02-16 00:09:00,24376.1,10826.94,10831.44,80.6,81.85,4.5,0.04,1.55,True,Fee-Aware Signal Exit
2023-02-16 23:47:00,23620.0,2023-02-17 14:34:00,24047.0,10831.44,10863.07,80.63,82.09,31.63,0.29,1.81,True,Fee-Aware Signal Exit
2023-02-25 10:32:00,22960.9,2023-02-26 18:41:00,23330.8,10863.07,10873.74,80.87,82.17,10.67,0.1,1.61,True,Fee-Aware Signal Exit
2023-03-08 09:21:00,21958.0,2023-03-09 18:33:00,20964.2,10873.74,10227.03,80.95,77.28,-646.7,-5.95,-4.53,False,Stop-Loss
2023-03-09 18:34:00,20989.9,2023-03-09 20:59:00,20086.7,10227.03,9641.25,76.13,72.86,-585.78,-5.73,-4.3,False,Stop-Loss
2023-03-09 21:00:00,20171.2,2023-03-14 13:02:00,26384.7,9641.25,12423.37,71.77,93.88,2782.11,28.86,30.8,True,Fee-Aware Signal Exit
2023-03-14 13:06:00,26302.5,2023-03-14 18:50:00,25134.4,12423.37,11694.89,92.48,88.37,-728.47,-5.86,-4.44,False,Stop-Loss
2023-03-14 18:51:00,24973.1,2023-03-17 17:20:00,26629.4,11694.89,12284.87,87.06,92.83,589.98,5.04,6.63,True,Fee-Aware Signal Exit
2023-03-17 17:21:00,26604.2,2023-03-17 21:42:00,27097.3,12284.87,12326.28,91.45,93.15,41.41,0.34,1.85,True,Fee-Aware Signal Exit
2023-03-18 00:19:00,27116.6,2023-03-18 00:55:00,27583.9,12326.28,12352.02,91.76,93.34,25.74,0.21,1.72,True,Fee-Aware Signal Exit
2023-03-18 08:13:00,27159.5,2023-03-18 12:47:00,27615.1,12352.02,12372.23,91.95,93.49,20.22,0.16,1.68,True,Fee-Aware Signal Exit
2023-03-18 14:43:00,27489.6,2023-03-19 16:41:00,27930.6,12372.23,12383.56,92.1,93.58,11.32,0.09,1.6,True,Fee-Aware Signal Exit
2023-03-22 21:51:00,27166.7,2023-03-23 05:34:00,27575.3,12383.56,12382.67,92.19,93.57,-0.89,-0.01,1.5,True,Fee-Aware Signal Exit
2023-03-24 17:51:00,27513.0,2023-03-26 12:01:00,27927.4,12382.67,12382.04,92.18,93.57,-0.63,-0.01,1.51,True,Fee-Aware Signal Exit
2023-03-26 20:50:00,27699.1,2023-03-26 23:20:00,28117.2,12382.04,12381.81,92.17,93.57,-0.23,-0.0,1.51,True,Fee-Aware Signal Exit
2023-03-27 06:24:00,27749.3,2023-03-27 15:11:00,26551.9,12381.81,11671.14,92.17,88.19,-710.67,-5.74,-4.32,False,Stop-Loss
2023-03-27 15:12:00,26641.0,2023-03-28 18:45:00,27136.0,11671.14,11711.0,86.88,88.5,39.86,0.34,1.86,True,Fee-Aware Signal Exit
2023-03-29 00:21:00,27263.8,2023-03-29 06:27:00,27802.2,11711.0,11764.47,87.18,88.9,53.47,0.46,1.97,True,Fee-Aware Signal Exit
2023-03-30 17:36:00,27732.8,2023-03-31 00:50:00,28159.1,11764.47,11767.46,87.58,88.92,2.99,0.03,1.54,True,Fee-Aware Signal Exit
2023-04-05 15:58:00,28051.1,2023-04-10 22:02:00,29458.1,11767.46,12173.71,87.6,91.99,406.25,3.45,5.02,True,Fee-Aware Signal Exit
2023-04-14 03:14:00,30615.0,2023-04-17 15:37:00,29266.6,12173.71,11464.27,90.62,86.63,-709.44,-5.83,-4.4,False,Stop-Loss
2023-04-21 02:46:00,28176.7,2023-04-26 08:26:00,28657.2,11464.27,11486.18,85.34,86.8,21.91,0.19,1.71,True,Fee-Aware Signal Exit
2023-05-01 01:51:00,28454.4,2023-05-03 21:21:00,28939.4,11486.18,11508.03,85.51,86.96,21.85,0.19,1.7,True,Fee-Aware Signal Exit
2023-05-12 15:27:00,26295.6,2023-05-12 21:12:00,26704.5,11508.03,11512.98,85.67,87.0,4.95,0.04,1.56,True,Fee-Aware Signal Exit
2023-05-22 04:28:00,26650.4,2023-05-23 02:57:00,27070.6,11512.98,11520.4,85.7,87.06,7.41,0.06,1.58,True,Fee-Aware Signal Exit
2023-05-24 01:16:00,27137.0,2023-05-25 01:26:00,25909.7,11520.4,10835.61,85.76,81.88,-684.79,-5.94,-4.52,False,Stop-Loss
2023-05-25 01:27:00,25866.5,2023-05-25 11:56:00,26270.5,10835.61,10841.01,80.66,81.92,5.39,0.05,1.56,True,Fee-Aware Signal Exit
2023-05-25 13:49:00,26240.5,2023-05-26 14:20:00,26659.6,10841.01,10850.17,80.7,81.99,9.16,0.08,1.6,True,Fee-Aware Signal Exit
2023-06-12 03:37:00,25799.5,2023-06-13 08:45:00,26188.0,10850.17,10849.58,80.77,81.99,-0.59,-0.01,1.51,True,Fee-Aware Signal Exit
2023-06-13 15:23:00,25783.8,2023-06-21 13:46:00,29126.2,10849.58,12073.56,80.77,91.24,1223.98,11.28,12.96,True,Fee-Aware Signal Exit
2023-06-21 14:01:00,29195.5,2023-06-21 15:17:00,29643.4,12073.56,12076.28,89.88,91.26,2.71,0.02,1.53,True,Fee-Aware Signal Exit
2023-06-22 14:41:00,29682.5,2023-06-22 16:31:00,30136.3,12076.28,12078.36,89.9,91.27,2.08,0.02,1.53,True,Fee-Aware Signal Exit
2023-06-28 07:17:00,30295.9,2023-06-29 13:16:00,30760.7,12078.36,12081.08,89.91,91.29,2.72,0.02,1.53,True,Fee-Aware Signal Exit
2023-06-30 13:47:00,29555.9,2023-06-30 13:59:00,30104.2,12081.08,12121.99,89.93,91.6,40.92,0.34,1.86,True,Fee-Aware Signal Exit
2023-06-30 14:24:00,30143.8,2023-06-30 17:20:00,30601.5,12121.99,12122.84,90.24,91.61,0.84,0.01,1.52,True,Fee-Aware Signal Exit
2023-07-08 17:39:00,30182.8,2023-07-10 19:46:00,30643.7,12122.84,12124.71,90.24,91.62,1.87,0.02,1.53,True,Fee-Aware Signal Exit
2023-08-03 19:38:00,29231.9,2023-08-08 16:38:00,29674.1,12124.71,12124.88,90.26,91.62,0.17,0.0,1.51,True,Fee-Aware Signal Exit
2023-08-17 21:44:00,25553.2,2023-08-17 21:48:00,26222.2,12124.88,12257.07,90.26,92.62,132.19,1.09,2.62,True,Fee-Aware Signal Exit
2023-08-22 23:47:00,25974.5,2023-08-23 17:36:00,26477.8,12257.07,12308.55,91.24,93.01,51.48,0.42,1.94,True,Fee-Aware Signal Exit
2023-08-23 17:44:00,26529.8,2023-08-29 14:26:00,27070.3,12308.55,12372.33,91.63,93.49,63.78,0.52,2.04,True,Fee-Aware Signal Exit
2023-09-07 14:15:00,25657.5,2023-09-07 21:07:00,26070.9,12372.33,12384.5,92.1,93.59,12.17,0.1,1.61,True,Fee-Aware Signal Exit
2023-09-09 12:23:00,25783.9,2023-09-12 10:22:00,26192.3,12384.5,12393.36,92.19,93.65,8.86,0.07,1.58,True,Fee-Aware Signal Exit
2023-09-13 01:37:00,25906.2,2023-09-13 16:20:00,26295.4,12393.36,12392.26,92.26,93.64,-1.1,-0.01,1.5,True,Fee-Aware Signal Exit
2023-09-14 08:04:00,26318.6,2023-09-14 18:35:00,26721.0,12392.26,12394.41,92.25,93.66,2.15,0.02,1.53,True,Fee-Aware Signal Exit
2023-09-15 00:59:00,26459.9,2023-09-18 09:55:00,26868.6,12394.41,12398.47,92.27,93.69,4.06,0.03,1.54,True,Fee-Aware Signal Exit
2023-09-25 00:20:00,26098.7,2023-09-28 13:54:00,26506.9,12398.47,12404.91,92.3,93.74,6.44,0.05,1.56,True,Fee-Aware Signal Exit
2023-09-28 13:56:00,26497.9,2023-09-28 15:42:00,26904.7,12404.91,12407.83,92.34,93.76,2.92,0.02,1.54,True,Fee-Aware Signal Exit
2023-09-29 17:58:00,26806.7,2023-10-01 10:06:00,27209.0,12407.83,12406.54,92.37,93.75,-1.29,-0.01,1.5,True,Fee-Aware Signal Exit
2023-10-01 15:16:00,27096.3,2023-10-01 22:17:00,27975.1,12406.54,12618.21,92.36,95.35,211.67,1.71,3.24,True,Fee-Aware Signal Exit
2023-10-11 04:31:00,27080.5,2023-10-16 13:28:00,28859.1,12618.21,13246.75,93.93,100.1,628.54,4.98,6.57,True,Fee-Aware Signal Exit
2023-10-16 13:35:00,28679.1,2023-10-23 15:01:00,30739.6,13246.75,13987.09,98.61,105.7,740.34,5.59,7.18,True,Fee-Aware Signal Exit
2023-10-23 15:02:00,30778.0,2023-10-23 22:41:00,33371.2,13987.09,14939.78,104.12,112.9,952.69,6.81,8.43,True,Fee-Aware Signal Exit
