Entry Time,Entry Price,Exit Time,Exit Price,Investment ($),Exit Value ($),Entry Fees ($),Exit Fees ($),PnL ($),Return (%),Exit Type
2023-02-10 06:31:00,21819.3,2023-02-10 06:33:00,21828.3,10000.0,9855.18,74.44,74.47,-144.82,-1.45,Signal Exit
2023-02-10 06:34:00,21836.2,2023-02-10 06:38:00,21830.9,9855.18,9706.1,73.36,73.35,-149.08,-1.51,Signal Exit
2023-02-10 06:39:00,21817.8,2023-02-15 20:32:00,23979.0,9706.1,10508.73,72.25,79.41,802.63,8.27,Signal Exit
2023-02-16 23:53:00,23493.6,2023-02-16 23:58:00,23554.0,10508.73,10378.89,78.23,78.43,-129.84,-1.24,Signal Exit
2023-02-16 23:59:00,23484.0,2023-02-17 00:07:00,23544.1,10378.89,10250.53,77.26,77.46,-128.36,-1.24,Signal Exit
2023-02-17 00:14:00,23491.0,2023-02-17 00:17:00,23576.0,10250.53,10134.45,76.31,76.58,-116.07,-1.13,Signal Exit
2023-03-08 09:21:00,21958.0,2023-03-08 09:22:00,21958.0,10134.45,9983.57,75.44,75.44,-150.89,-1.49,Signal Exit
2023-03-08 09:23:00,21952.0,2023-03-08 09:24:00,21954.4,9983.57,9836.0,74.32,74.33,-147.56,-1.48,Signal Exit
2023-03-08 09:26:00,21946.3,2023-03-09 18:33:00,20964.2,9836.0,9255.95,73.22,69.94,-580.05,-5.9,Stop-Loss
2023-03-09 18:34:00,20989.9,2023-03-09 20:59:00,20086.7,9255.95,8725.79,68.9,65.94,-530.16,-5.73,Stop-Loss
2023-03-09 21:00:00,20171.2,2023-03-14 13:04:00,26456.2,8725.79,11274.21,64.96,85.2,2548.42,29.21,Signal Exit
2023-03-14 13:06:00,26302.5,2023-03-14 18:50:00,25134.4,11274.21,10613.12,83.93,80.2,-661.09,-5.86,Stop-Loss
2023-03-14 18:51:00,24973.1,2023-03-17 19:05:00,26727.2,10613.12,11189.47,79.01,84.56,576.35,5.43,Signal Exit
2023-03-18 14:36:00,27551.3,2023-03-18 14:37:00,27564.5,11189.47,11028.16,83.3,83.34,-161.31,-1.44,Signal Exit
2023-03-18 14:40:00,27534.8,2023-03-18 14:41:00,27516.2,11028.16,10856.62,82.1,82.04,-171.53,-1.56,Signal Exit
2023-03-18 14:43:00,27489.6,2023-03-18 14:47:00,27520.1,10856.62,10706.85,80.82,80.91,-149.77,-1.38,Signal Exit
2023-03-18 14:48:00,27534.5,2023-03-18 18:11:00,27341.0,10706.85,10473.32,79.7,79.14,-233.53,-2.18,Signal Exit
2023-03-18 18:15:00,27287.6,2023-03-18 18:20:00,27339.8,10473.32,10337.13,77.97,78.11,-136.19,-1.3,Signal Exit
2023-03-18 19:07:00,27295.0,2023-03-18 19:08:00,27326.9,10337.13,10195.13,76.95,77.04,-142.0,-1.37,Signal Exit
2023-03-18 19:10:00,27303.6,2023-03-18 19:11:00,27320.0,10195.13,10049.37,75.89,75.94,-145.76,-1.43,Signal Exit
