Entry Time,Entry Price,Exit Time,Exit Price,Investment ($),Exit Value ($),Entry Fees ($),Exit Fees ($),PnL ($),Return (%),Exit Type
2023-02-10 06:31:00,21819.3,2023-02-15 20:32:00,23979.0,10000.0,10826.19,74.44,81.81,826.19,8.26,Signal Exit
2023-02-16 23:47:00,23620.0,2023-02-16 23:48:00,23639.4,10826.19,10673.77,80.59,80.66,-152.42,-1.41,Signal Exit
2023-02-16 23:50:00,23591.3,2023-02-16 23:53:00,23493.6,10673.77,10471.31,79.46,79.13,-202.46,-1.9,Signal Exit
2023-02-16 23:55:00,23549.6,2023-02-16 23:56:00,23511.4,10471.31,10298.67,77.95,77.82,-172.63,-1.65,Signal Exit
2023-02-17 00:01:00,23378.0,2023-02-17 00:05:00,23533.4,10298.67,10212.78,76.67,77.17,-85.89,-0.83,Signal Exit
2023-03-08 09:15:00,21971.7,2023-03-09 18:33:00,20964.2,10212.78,9599.4,76.03,72.54,-613.38,-6.01,Stop-Loss
2023-03-09 18:34:00,20989.9,2023-03-09 20:59:00,20086.7,9599.4,9049.57,71.46,68.38,-549.83,-5.73,Stop-Loss
2023-03-09 21:00:00,20171.2,2023-03-17 19:04:00,26651.4,9049.57,11778.82,67.37,89.01,2729.25,30.16,Signal Exit
2023-03-18 14:34:00,27524.5,2023-03-18 14:38:00,27569.0,11778.82,11622.21,87.68,87.83,-156.61,-1.33,Signal Exit
2023-03-18 14:41:00,27516.2,2023-03-18 14:48:00,27534.5,11622.21,11456.79,86.52,86.58,-165.42,-1.42,Signal Exit
2023-03-18 14:49:00,27531.3,2023-03-18 14:52:00,27540.6,11456.79,11290.03,85.29,85.32,-166.76,-1.46,Signal Exit
2023-03-18 14:55:00,27549.8,2023-03-18 18:22:00,27328.7,11290.03,11032.68,84.04,83.37,-257.35,-2.28,Signal Exit
2023-03-18 18:39:00,27267.4,2023-03-18 18:40:00,27286.1,11032.68,10875.87,82.13,82.19,-156.8,-1.42,Signal Exit
2023-03-18 18:50:00,27251.8,2023-03-18 18:51:00,27284.8,10875.87,10726.92,80.96,81.06,-148.95,-1.37,Signal Exit
2023-03-18 19:08:00,27326.9,2023-03-19 11:48:00,27131.3,10726.92,10491.58,79.85,79.28,-235.34,-2.19,Signal Exit
2023-03-24 20:43:00,27565.9,2023-03-24 20:51:00,27591.8,10491.58,10345.09,78.1,78.17,-146.49,-1.4,Signal Exit
2023-03-24 20:54:00,27613.0,2023-03-24 20:55:00,27606.6,10345.09,10188.7,77.01,76.99,-156.38,-1.51,Signal Exit
2023-03-24 20:56:00,27595.5,2023-03-25 13:30:00,27416.4,10188.7,9971.87,75.85,75.35,-216.83,-2.13,Signal Exit
2023-03-25 19:30:00,27172.4,2023-03-25 19:34:00,27273.1,9971.87,9859.81,74.23,74.51,-112.06,-1.12,Signal Exit
2023-03-25 19:36:00,27265.8,2023-03-25 19:44:00,27275.3,9859.81,9716.4,73.4,73.42,-143.41,-1.45,Signal Exit
2023-03-25 19:45:00,27271.9,2023-03-25 19:46:00,27276.3,9716.4,9573.28,72.33,72.34,-143.12,-1.47,Signal Exit
2023-03-25 19:48:00,27210.8,2023-03-25 20:24:00,27289.9,9573.28,9458.17,71.27,71.47,-115.12,-1.2,Signal Exit
