Entry Time,Entry Price,Exit Time,Exit Price,Investment ($),Exit Value ($),Entry Fees ($),Exit Fees ($),PnL ($),Return (%),Price Change (%),Fee Checker,Exit Type
2023-02-10 06:39:00,21817.8,2023-02-15 20:32:00,23979.0,10000.0,10826.94,74.44,81.82,826.94,8.27,9.91,True,Fee-Aware Signal Exit
2023-02-15 21:13:00,24003.2,2023-02-16 00:09:00,24376.1,10826.94,10831.44,80.6,81.85,4.5,0.04,1.55,True,Fee-Aware Signal Exit
2023-02-16 23:47:00,23620.0,2023-02-17 14:34:00,24047.0,10831.44,10863.07,80.63,82.09,31.63,0.29,1.81,True,Fee-Aware Signal Exit
2023-03-08 09:21:00,21958.0,2023-03-09 18:33:00,20964.2,10863.07,10217.0,80.87,77.21,-646.07,-5.95,-4.53,False,Stop-Loss
2023-03-09 18:34:00,20989.9,2023-03-09 20:59:00,20086.7,10217.0,9631.79,76.06,72.78,-585.21,-5.73,-4.3,False,Stop-Loss
2023-03-09 21:00:00,20171.2,2023-03-14 13:02:00,26384.7,9631.79,12411.18,71.7,93.79,2779.39,28.86,30.8,True,Fee-Aware Signal Exit
2023-03-14 13:06:00,26302.5,2023-03-14 18:50:00,25134.4,12411.18,11683.42,92.39,88.29,-727.76,-5.86,-4.44,False,Stop-Loss
2023-03-14 18:51:00,24973.1,2023-03-17 19:04:00,26651.4,11683.42,12282.96,86.97,92.82,599.54,5.13,6.72,True,Fee-Aware Signal Exit
2023-03-17 20:43:00,26621.7,2023-03-17 21:42:00,27097.3,12282.96,12316.26,91.44,93.07,33.3,0.27,1.79,True,Fee-Aware Signal Exit
2023-03-18 14:43:00,27489.6,2023-03-19 16:41:00,27930.6,12316.26,12327.53,91.68,93.16,11.27,0.09,1.6,True,Fee-Aware Signal Exit
2023-03-24 17:51:00,27513.0,2023-03-26 12:01:00,27927.4,12327.53,12326.91,91.77,93.15,-0.62,-0.01,1.51,True,Fee-Aware Signal Exit
2023-03-26 20:50:00,27699.1,2023-03-26 23:20:00,28117.2,12326.91,12326.68,91.76,93.15,-0.23,-0.0,1.51,True,Fee-Aware Signal Exit
2023-03-27 14:18:00,27474.2,2023-03-29 06:28:00,27945.4,12326.68,12351.42,91.76,93.34,24.74,0.2,1.72,True,Fee-Aware Signal Exit
2023-03-30 17:36:00,27732.8,2023-03-31 00:50:00,28159.1,12351.42,12354.56,91.95,93.36,3.14,0.03,1.54,True,Fee-Aware Signal Exit
2023-04-05 15:59:00,27996.1,2023-04-10 22:02:00,29458.1,12354.56,12806.19,91.97,96.77,451.63,3.66,5.22,True,Fee-Aware Signal Exit
2023-04-21 02:46:00,28176.7,2023-04-26 08:26:00,28657.2,12806.19,12830.66,95.33,96.96,24.47,0.19,1.71,True,Fee-Aware Signal Exit
2023-05-01 01:51:00,28454.4,2023-05-03 21:21:00,28939.4,12830.66,12855.07,95.51,97.14,24.41,0.19,1.7,True,Fee-Aware Signal Exit
2023-05-12 15:27:00,26295.6,2023-05-12 21:12:00,26704.5,12855.07,12860.6,95.7,97.18,5.53,0.04,1.56,True,Fee-Aware Signal Exit
2023-05-22 04:28:00,26650.4,2023-05-23 02:57:00,27070.6,12860.6,12868.89,95.74,97.25,8.28,0.06,1.58,True,Fee-Aware Signal Exit
2023-05-24 01:16:00,27137.0,2023-05-25 01:26:00,25909.7,12868.89,12103.95,95.8,91.47,-764.94,-5.94,-4.52,False,Stop-Loss
2023-05-25 01:27:00,25866.5,2023-05-25 11:56:00,26270.5,12103.95,12109.97,90.1,91.51,6.03,0.05,1.56,True,Fee-Aware Signal Exit
2023-05-25 13:49:00,26240.5,2023-05-26 14:20:00,26659.6,12109.97,12120.21,90.15,91.59,10.24,0.08,1.6,True,Fee-Aware Signal Exit
2023-06-12 03:37:00,25799.5,2023-06-13 08:45:00,26188.0,12120.21,12119.55,90.22,91.58,-0.66,-0.01,1.51,True,Fee-Aware Signal Exit
2023-06-13 15:23:00,25783.8,2023-06-21 13:46:00,29126.2,12119.55,13486.8,90.22,101.92,1367.25,11.28,12.96,True,Fee-Aware Signal Exit
2023-06-21 14:01:00,29195.5,2023-06-21 15:17:00,29643.4,13486.8,13489.83,100.4,101.94,3.03,0.02,1.53,True,Fee-Aware Signal Exit
2023-06-22 14:41:00,29682.5,2023-06-22 16:31:00,30136.3,13489.83,13492.16,100.42,101.96,2.33,0.02,1.53,True,Fee-Aware Signal Exit
2023-06-28 07:17:00,30295.9,2023-06-29 13:16:00,30760.7,13492.16,13495.2,100.44,101.98,3.04,0.02,1.53,True,Fee-Aware Signal Exit
2023-06-30 13:47:00,29555.9,2023-06-30 13:59:00,30104.2,13495.2,13540.9,100.46,102.32,45.7,0.34,1.86,True,Fee-Aware Signal Exit
2023-06-30 14:24:00,30143.8,2023-06-30 17:20:00,30601.5,13540.9,13541.84,100.8,102.33,0.94,0.01,1.52,True,Fee-Aware Signal Exit
2023-07-08 17:39:00,30182.8,2023-07-10 19:46:00,30643.7,13541.84,13543.93,100.81,102.35,2.09,0.02,1.53,True,Fee-Aware Signal Exit
2023-08-03 19:38:00,29231.9,2023-08-08 16:38:00,29674.1,13543.93,13544.12,100.82,102.35,0.19,0.0,1.51,True,Fee-Aware Signal Exit
2023-08-17 21:44:00,25553.2,2023-08-17 21:48:00,26222.2,13544.12,13691.79,100.82,103.46,147.67,1.09,2.62,True,Fee-Aware Signal Exit
2023-08-22 23:47:00,25974.5,2023-08-23 17:37:00,26515.4,13691.79,13768.81,101.92,104.05,77.03,0.56,2.08,True,Fee-Aware Signal Exit
2023-08-23 17:44:00,26529.8,2023-08-29 14:26:00,27070.3,13768.81,13840.16,102.5,104.59,71.35,0.52,2.04,True,Fee-Aware Signal Exit
2023-09-07 14:15:00,25657.5,2023-09-07 21:07:00,26070.9,13840.16,13853.78,103.03,104.69,13.62,0.1,1.61,True,Fee-Aware Signal Exit
2023-09-09 12:24:00,25783.9,2023-09-12 10:22:00,26192.3,13853.78,13863.69,103.13,104.76,9.91,0.07,1.58,True,Fee-Aware Signal Exit
2023-09-13 01:37:00,25906.2,2023-09-13 16:20:00,26295.4,13863.69,13862.46,103.2,104.75,-1.23,-0.01,1.5,True,Fee-Aware Signal Exit
2023-09-14 08:14:00,26312.5,2023-09-14 18:35:00,26721.0,13862.46,13868.08,103.19,104.8,5.62,0.04,1.55,True,Fee-Aware Signal Exit
2023-09-15 01:00:00,26457.3,2023-09-18 09:55:00,26868.6,13868.08,13873.99,103.24,104.84,5.91,0.04,1.55,True,Fee-Aware Signal Exit
2023-09-25 00:39:00,26042.3,2023-09-28 13:59:00,26527.3,13873.99,13921.96,103.28,105.2,47.98,0.35,1.86,True,Fee-Aware Signal Exit
2023-09-28 14:02:00,26505.0,2023-09-28 15:42:00,26904.7,13921.96,13921.51,103.64,105.2,-0.46,-0.0,1.51,True,Fee-Aware Signal Exit
2023-09-29 17:58:00,26806.7,2023-10-01 10:06:00,27209.0,13921.51,13920.06,103.63,105.19,-1.45,-0.01,1.5,True,Fee-Aware Signal Exit
2023-10-01 15:16:00,27096.3,2023-10-01 22:17:00,27975.1,13920.06,14157.55,103.62,106.98,237.49,1.71,3.24,True,Fee-Aware Signal Exit
2023-10-11 04:31:00,27080.5,2023-10-16 13:28:00,28859.1,14157.55,14862.77,105.39,112.31,705.22,4.98,6.57,True,Fee-Aware Signal Exit
2023-10-16 13:35:00,28679.1,2023-10-23 22:41:00,33371.2,14862.77,17036.93,110.64,128.74,2174.17,14.63,16.36,True,Fee-Aware Signal Exit
2023-10-23 23:10:00,32857.4,2023-10-24 00:31:00,33383.5,17036.93,17052.01,126.83,128.86,15.08,0.09,1.6,True,Fee-Aware Signal Exit
2023-10-24 15:39:00,33262.7,2023-10-24 15:50:00,33772.5,17052.01,17055.59,126.94,128.88,3.58,0.02,1.53,True,Fee-Aware Signal Exit
2023-10-24 18:06:00,33628.0,2023-10-24 21:58:00,34155.5,17055.59,17065.22,126.96,128.96,9.63,0.06,1.57,True,Fee-Aware Signal Exit
2023-10-27 17:07:00,33495.4,2023-10-28 05:11:00,34082.3,17065.22,17105.71,127.04,129.26,40.49,0.24,1.75,True,Fee-Aware Signal Exit
2023-10-28 05:12:00,34071.7,2023-10-29 17:36:00,34618.1,17105.71,17121.27,127.34,129.38,15.56,0.09,1.6,True,Fee-Aware Signal Exit
2023-10-31 16:09:00,34263.2,2023-11-01 12:56:00,34804.9,17121.27,17133.02,127.45,129.47,11.75,0.07,1.58,True,Fee-Aware Signal Exit
2023-11-03 08:41:00,34312.7,2023-11-08 20:03:00,35659.7,17133.02,17540.51,127.54,132.55,407.49,2.38,3.93,True,Fee-Aware Signal Exit
2023-11-08 21:25:00,35441.0,2023-11-08 23:45:00,36001.0,17540.51,17552.39,130.57,132.64,11.88,0.07,1.58,True,Fee-Aware Signal Exit
