Entry Time,Entry Price,Exit Time,Exit Price,PnL ($),Return (%),Duration,Exit Reason
2023-01-19 04:06:00,20726.9,2023-01-21 09:42:00,22827.6,848.93,8.49,3215,TP
2023-01-21 09:43:00,22816.7,2023-02-10 12:09:00,21672.4,150.84,1.51,27554,SL
2023-02-10 12:10:00,21689.9,2023-02-15 20:31:00,23917.1,1025.9,10.26,7371,TP
2023-02-15 20:32:00,23979.0,2023-02-25 20:45:00,22773.2,314.97,3.15,14044,SL
2023-02-25 20:46:00,22796.5,2023-03-08 23:09:00,21640.4,-354.47,-3.54,14599,SL
2023-03-08 23:10:00,21665.2,2023-03-09 20:20:00,20560.1,-983.25,-9.83,1107,SL
2023-03-09 20:22:00,20554.8,2023-03-13 00:45:00,22625.7,-223.13,-2.23,4543,TP
2023-03-13 00:48:00,22543.2,2023-03-14 05:12:00,24802.8,596.09,5.96,1704,TP
2023-03-14 05:13:00,24781.2,2023-03-17 22:07:00,27317.7,1506.11,15.06,5329,TP
2023-03-17 22:08:00,27229.1,2023-04-11 01:51:00,29953.3,2468.12,24.68,33875,TP
2023-04-11 01:52:00,30007.3,2023-04-20 12:17:00,28359.2,1607.25,16.07,12468,SL
2023-04-20 12:18:00,28448.7,2023-04-24 17:02:00,27004.0,853.15,8.53,5475,SL
2023-04-24 17:03:00,27089.9,2023-04-26 12:33:00,29900.3,1800.08,18.0,2610,TP
2023-04-26 12:34:00,29834.1,2023-04-26 19:39:00,28281.6,1018.87,10.19,425,SL
2023-04-26 19:40:00,28462.9,2023-05-10 17:20:00,26955.1,279.21,2.79,18857,SL
2023-05-10 17:21:00,26826.1,2023-06-05 16:03:00,25471.0,-385.88,-3.86,32305,SL
2023-06-05 16:05:00,25609.7,2023-06-20 20:48:00,28211.6,432.63,4.33,21505,TP
2023-06-20 20:49:00,28187.7,2023-06-23 15:53:00,31268.3,1399.86,14.0,4013,TP
2023-06-23 15:54:00,31186.3,2023-06-30 13:47:00,29555.9,642.43,6.42,9185,SL
2023-06-30 13:48:00,29775.6,2023-08-17 14:20:00,28283.0,-42.12,-0.42,59489,SL
2023-08-17 14:22:00,28281.0,2023-08-17 21:43:00,26081.2,-953.92,-9.54,437,SL
2023-08-17 21:46:00,25851.7,2023-10-02 08:36:00,28444.5,-195.38,-1.95,59365,TP
2023-10-02 08:37:00,28436.4,2023-10-11 03:37:00,27011.1,-825.98,-8.26,12619,SL
2023-10-11 03:38:00,27020.1,2023-10-16 13:30:00,29857.4,-14.14,-0.14,7723,TP
2023-10-16 13:31:00,29582.9,2023-10-16 13:47:00,28041.3,-675.96,-6.76,16,SL
2023-10-16 13:48:00,27955.8,2023-10-23 04:00:00,30800.8,119.41,1.19,9459,TP
2023-10-23 04:01:00,30670.6,2023-10-23 22:42:00,34189.8,1111.95,11.12,1121,TP
2023-10-23 22:43:00,34179.7,2023-11-09 14:12:00,37669.7,2063.56,20.64,23397,TP
2023-11-09 14:13:00,37528.1,2023-11-14 18:44:00,35631.5,1282.72,12.83,7386,SL
2023-11-14 18:45:00,35661.2,2023-12-02 19:10:00,39336.8,2259.65,22.6,24537,TP
2023-12-02 19:11:00,39401.3,2023-12-05 17:27:00,43396.9,3301.09,33.01,4121,TP
2023-12-05 17:28:00,43721.0,2023-12-11 02:12:00,41271.7,2368.31,23.68,7151,SL
